noise,num_robots,fwd_speed,turn_speed
0.0,1,0.1415,1.5784
0.0,3,0.1253,1.7059
0.0,5,0.1062,0.8778
0.0,7,0.1244,1.4746
0.0,10,0.0633,1.2407
0.0,15,0.0894,0.7821
0.0,20,0.1105,0.6799
0.25,3,0.1113,0.7576
0.25,5,0.0986,0.538
0.5,1,0.1144,1.3703
0.5,3,0.1033,1.0436
0.5,5,0.1024,0.86
0.5,7,0.0981,0.6719
0.5,10,0.0934,0.5658
0.5,15,0.0802,0.47
0.5,20,0.0772,0.4543
0.75,3,0.1031,1.234
0.75,5,0.1016,1.1159
0.75,7,0.0998,0.9773
0.75,10,0.0923,0.8195
0.75,15,0.0853,0.6792
1.0,1,0.1132,1.377
1.0,5,0.0997,1.1936
1.0,7,0.1004,1.1341
1.0,10,0.092,0.9924
1.0,15,0.0877,0.8389
1.0,20,0.0886,0.902
1.25,10,0.0941,1.0651
1.5,1,0.1109,1.5599
1.5,3,0.1021,1.4416
1.5,5,0.0997,1.3235
1.5,7,0.0983,1.2635
1.5,10,0.0934,1.1584
1.5,15,0.0921,1.098
1.5,20,0.0908,1.1239
